model,reduction_method,percentage,reduction_ratio,representativeness,accuracy,f1,training_time,reduction_time
KNN,None,1.0,1.0,0,0.8361124251024913,0.8221333186565045,0.010783672332763672,0
RF,None,1.0,1.0,0,0.8609074424471775,0.831341325428011,18.63827085494995,0
XGB,None,1.0,1.0,0,0.8657166508987701,0.8336871153304191,0.4502604007720947,0
KNN,SRS,0.05,0.04999408703878903,5.234557242476175,0.8353910438347525,0.8183433174479117,0.000739288330078125,0.055108070373535156
KNN,SRS,0.1,0.09999802901292967,4.892961956557249,0.8354935351624093,0.819705075571148,0.001070547103881836,0.05652604103088379
KNN,SRS,0.2,0.19999605802585935,4.91839545631891,0.8371373383790603,0.8214800597278765,0.0016797542572021484,0.05866384506225586
KNN,SRS,0.3,0.2999990145064648,4.863441309377849,0.8368298643960894,0.8218317059271169,0.002305746078491211,0.060234594345092776
KNN,SRS,0.5,0.5,4.269767084532193,0.8364593188268685,0.8214795681940599,0.003550863265991211,0.06368913650512695
KNN,SRS,0.75,0.7499950725323242,3.7007915731301813,0.8362464522232734,0.8217561927273677,0.005283546447753906,0.06800012588500977
KNN,SRS,0.9,0.8999970435193945,3.530691208946884,0.8367667928098392,0.8223805540713537,0.006429195404052734,0.06997041702270508
RF,SRS,0.05,0.04999408703878903,5.234557242476175,0.8618614001892148,0.8266268356805636,0.5855966091156006,0.055108070373535156
RF,SRS,0.1,0.09999802901292967,4.892961956557249,0.861644591611479,0.8282392120954747,1.1521141529083252,0.05652604103088379
RF,SRS,0.2,0.19999605802585935,4.91839545631891,0.861735257016714,0.829164699920962,2.4207009792327883,0.05866384506225586
RF,SRS,0.3,0.2999990145064648,4.863441309377849,0.8612267423525701,0.8296040384545529,3.8370993614196776,0.060234594345092776
RF,SRS,0.5,0.5,4.269767084532193,0.8610611794386628,0.8302002599098739,7.263883066177368,0.06368913650512695
RF,SRS,0.75,0.7499950725323242,3.7007915731301813,0.8604107537054556,0.8305834551215507,12.188915538787843,0.06800012588500977
RF,SRS,0.9,0.8999970435193945,3.530691208946884,0.8599574266792811,0.8301419327640449,15.261382627487183,0.06997041702270508
XGB,SRS,0.05,0.04999408703878903,5.234557242476175,0.8546436455376852,0.8322642381095037,0.06681962013244629,0.055108070373535156
XGB,SRS,0.1,0.09999802901292967,4.892961956557249,0.8587078208766951,0.8342768603677533,0.0819631576538086,0.05652604103088379
XGB,SRS,0.2,0.19999605802585935,4.91839545631891,0.8625433617155471,0.8344337962947611,0.1129223346710205,0.05866384506225586
XGB,SRS,0.3,0.2999990145064648,4.863441309377849,0.863647114474929,0.8346478184694457,0.143949556350708,0.060234594345092776
XGB,SRS,0.5,0.5,4.269767084532193,0.8649282560706402,0.834551560870009,0.21432142257690429,0.06368913650512695
XGB,SRS,0.75,0.7499950725323242,3.7007915731301813,0.8658467360454114,0.834799873493214,0.31291866302490234,0.06800012588500977
XGB,SRS,0.9,0.8999970435193945,3.530691208946884,0.8659965310627562,0.8345417158685142,0.38632025718688967,0.06997041702270508
KNN,CLC,0.05,0.04999408703878903,3.7991821076854304,0.8566501103752759,0.8213652893984322,0.000881195068359375,225.17472529411316
RF,CLC,0.05,0.04999408703878903,3.7991821076854304,0.8621885840428887,0.7983822485260822,1.1301696300506592,225.17472529411316
XGB,CLC,0.05,0.04999408703878903,3.7991821076854304,0.8619323557237465,0.7984066105562916,0.10457205772399902,225.17472529411316
