model,reduction_method,percentage,reduction_ratio,representativeness,accuracy,f1,training_time,reduction_time
KNN,None,1.0,1.0,0,0.6934719569983733,0.6934271754638056,0.0033576488494873047,0
RF,None,1.0,1.0,0,0.7419195134026452,0.7416956555572354,4.406138896942139,0
XGB,None,1.0,1.0,0,0.7472947167409294,0.7470003726978791,0.14699292182922363,0
KNN,SRS,0.05,0.04998850635686878,6.304664906791567,0.6899639295565457,0.6899438700756952,0.0005040645599365234,0.015696334838867187
KNN,SRS,0.1,0.09999469524163174,5.077812541564429,0.694363109130773,0.6943330832955905,0.0005891799926757812,0.0158689022064209
KNN,SRS,0.2,0.19998939048326347,5.034006602338309,0.69023268972346,0.6902081773218223,0.0007770538330078125,0.016406869888305663
KNN,SRS,0.3,0.2999840857248952,5.171739943598675,0.6953957139826012,0.695365231546135,0.0009706020355224609,0.01674203872680664
KNN,SRS,0.5,0.49999115873605293,4.811149894907424,0.6953815687106585,0.6953553230953453,0.0013416767120361327,0.01754474639892578
KNN,SRS,0.75,0.7499867381040793,4.041926207511073,0.6944196902185444,0.6944033246101181,0.0018279552459716797,0.018707418441772462
KNN,SRS,0.9,0.8999699397025799,3.3429451562591885,0.6952259707192872,0.6952048710609768,0.0020505905151367186,0.01927151679992676
RF,SRS,0.05,0.04998850635686878,6.304664906791567,0.7376193507320179,0.737367372060459,0.22329201698303222,0.015696334838867187
RF,SRS,0.1,0.09999469524163174,5.077812541564429,0.7379588372586463,0.7377485055541014,0.39722566604614257,0.0158689022064209
RF,SRS,0.2,0.19998939048326347,5.034006602338309,0.7363179857132753,0.7361052035656772,0.763945198059082,0.016406869888305663
RF,SRS,0.3,0.2999840857248952,5.171739943598675,0.7382134521536177,0.7379560073635388,1.1686693191528321,0.01674203872680664
RF,SRS,0.5,0.49999115873605293,4.811149894907424,0.7379729825305892,0.7377448537614109,1.9319268226623536,0.01754474639892578
RF,SRS,0.75,0.7499867381040793,4.041926207511073,0.7387085366716175,0.7385039920321546,3.0359605312347413,0.018707418441772462
RF,SRS,0.9,0.8999699397025799,3.3429451562591885,0.7395148171723601,0.739289441289233,3.7131233692169188,0.01927151679992676
XGB,SRS,0.05,0.04998850635686878,6.304664906791567,0.7197821628120801,0.7197315351430051,0.05095973014831543,0.015696334838867187
XGB,SRS,0.1,0.09999469524163174,5.077812541564429,0.7259353561072212,0.725834023067182,0.05934805870056152,0.0158689022064209
XGB,SRS,0.2,0.19998939048326347,5.034006602338309,0.7331635900700191,0.7330032892593137,0.06836147308349609,0.016406869888305663
