model,reduction_method,percentage,reduction_ratio,representativeness,accuracy,f1,training_time,reduction_time
KNN,None,1.0,1.0,0,0.9188395152405435,0.9190076859666609,0.0011212825775146484,0
RF,None,1.0,1.0,0,0.922879177377892,0.9228124562577925,3.3710217475891113,0
XGB,None,1.0,1.0,0,0.9206757253029747,0.9207777962901,0.531867504119873,0
KNN,SRS,0.05,0.049595885378398236,13.460831921101098,0.8990084465662871,0.8993913060886616,0.0003685474395751953,0.003635406494140625
KNN,SRS,0.1,0.09974283614988978,10.810565543084495,0.9021667278736688,0.9025088972911985,0.0003902912139892578,0.0036079883575439453
KNN,SRS,0.2,0.19976120499632624,8.98992593827949,0.907014322438487,0.9073108117562045,0.0004435062408447266,0.003715372085571289
KNN,SRS,0.3,0.29977957384276266,6.847537805272782,0.9071612192434815,0.907396330379705,0.00047616958618164064,0.0037333011627197266
KNN,SRS,0.5,0.49981631153563555,8.065821724053396,0.9139919206757252,0.9141458443168098,0.0005575180053710938,0.003822994232177734
KNN,SRS,0.75,0.7497244673034533,3.7688131323674603,0.9177377892030849,0.9178807710858049,0.0006668567657470703,0.004059505462646484
KNN,SRS,0.9,0.8997060984570169,1.3963921269733581,0.9196474476680132,0.9197863165643454,0.0007151603698730469,0.004125118255615234
RF,SRS,0.05,0.049595885378398236,13.460831921101098,0.9026074182886521,0.9028030056290705,0.14263439178466797,0.003635406494140625
RF,SRS,0.1,0.09974283614988978,10.810565543084495,0.9087036356959237,0.9087901496491211,0.24853019714355468,0.0036079883575439453
RF,SRS,0.2,0.19976120499632624,8.98992593827949,0.9104663973558574,0.9105179676515529,0.5013805866241455,0.003715372085571289
RF,SRS,0.3,0.29977957384276266,6.847537805272782,0.916562614763129,0.9165980294003715,0.7951182842254638,0.0037333011627197266
RF,SRS,0.5,0.49981631153563555,8.065821724053396,0.9183253764230628,0.9182918365222081,1.455937099456787,0.003822994232177734
RF,SRS,0.75,0.7497244673034533,3.7688131323674603,0.9205288284979801,0.920564162301002,2.35231499671936,0.004059505462646484
RF,SRS,0.9,0.8997060984570169,1.3963921269733581,0.9212633125229527,0.9212381995085395,2.9466904640197753,0.004125118255615234
XGB,SRS,0.05,0.049595885378398236,13.460831921101098,0.9045905251560779,0.9049344557458069,0.15051050186157228,0.003635406494140625
XGB,SRS,0.1,0.09974283614988978,10.810565543084495,0.9109805361733383,0.9110882419990091,0.3908041477203369,0.0036079883575439453
XGB,SRS,0.2,0.19976120499632624,8.98992593827949,0.914212265883217,0.9143476510192784,0.3800203323364258,0.003715372085571289
XGB,SRS,0.3,0.29977957384276266,6.847537805272782,0.9193536540580242,0.9194457461598905,0.3276775360107422,0.0037333011627197266
XGB,SRS,0.5,0.49981631153563555,8.065821724053396,0.9223650385604113,0.922466544490321,0.3981966972351074,0.003822994232177734
XGB,SRS,0.75,0.7497244673034533,3.7688131323674603,0.9208226221079692,0.920951874735719,0.4637300968170166,0.004059505462646484
XGB,SRS,0.9,0.8997060984570169,1.3963921269733581,0.9208226221079692,0.9209017041210881,0.5221856594085693,0.004125118255615234
KNN,CNN,0.0,0.002571638501102131,7.009339610142839,0.7036356959236136,0.6907018114018069,0.0003802776336669922,0.2629082202911377
RF,CNN,0.0,0.002571638501102131,7.009339610142839,0.7693720161586486,0.7702030176314205,0.07017087936401367,0.2629082202911377
XGB,CNN,0.0,0.002571638501102131,7.009339610142839,0.7146529562982005,0.7088135796098161,0.05514836311340332,0.2629082202911377
KNN,DROP3,0.0,0.07421013960323292,11.42803566529461,0.9166360631656262,0.9167882685057228,0.00047135353088378906,77.74027037620544
RF,DROP3,0.0,0.07421013960323292,11.42803566529461,0.919573999265516,0.919379597090964,0.21933531761169434,77.74027037620544
XGB,DROP3,0.0,0.07421013960323292,11.42803566529461,0.8997429305912596,0.8979933185140436,0.20282888412475586,77.74027037620544
KNN,CLC,0.05,0.049595885378398236,2.086126477182357,0.9070877708409842,0.9072744301671232,0.0004725456237792969,0.848496675491333
RF,CLC,0.05,0.049595885378398236,2.086126477182357,0.8946015424164524,0.894118339272516,0.14709734916687012,0.848496675491333
XGB,CLC,0.05,0.049595885378398236,2.086126477182357,0.8920308483290489,0.8921897923290838,0.15520262718200684,0.848496675491333
KNN,CLC,0.1,0.09974283614988978,1.3345086936895094,0.9081894968784429,0.9084242213932303,0.0005116462707519531,0.7913439273834229
RF,CLC,0.1,0.09974283614988978,1.3345086936895094,0.9070877708409842,0.9067242097744321,0.2669243812561035,0.7913439273834229
XGB,CLC,0.1,0.09974283614988978,1.3345086936895094,0.9037825927286082,0.9036781893483505,0.23020672798156738,0.7913439273834229
KNN,CLC,0.2,0.19976120499632624,0.9414629161942975,0.9096584649283878,0.9097236883535915,0.0005729198455810547,0.9350540637969971
RF,CLC,0.2,0.19976120499632624,0.9414629161942975,0.9118619170033052,0.9117113879021719,0.5478682518005371,0.9350540637969971
XGB,CLC,0.2,0.19976120499632624,0.9414629161942975,0.910025706940874,0.9099784819622105,0.3112680912017822,0.9350540637969971
KNN,CLC,0.3,0.29977957384276266,0.8581804467993128,0.9144326110907087,0.9145407749013219,0.0006802082061767578,1.1046710014343262
RF,CLC,0.3,0.29977957384276266,0.8581804467993128,0.9181050312155711,0.9179839646956001,0.8445131778717041,1.1046710014343262
XGB,CLC,0.3,0.29977957384276266,0.8581804467993128,0.9162688211531399,0.9162692524636307,0.35538268089294434,1.1046710014343262
KNN,CLC,0.5,0.49981631153563555,0.6507685386675126,0.9136981270657363,0.913615924333287,0.0007371902465820312,1.4073262214660645
RF,CLC,0.5,0.49981631153563555,0.6507685386675126,0.9206757253029747,0.9205255422555483,1.512585163116455,1.4073262214660645
XGB,CLC,0.5,0.49981631153563555,0.6507685386675126,0.9192067572530297,0.9192848016237698,0.4252896308898926,1.4073262214660645
KNN,CLC,0.75,0.7497244673034533,0.44662816466839683,0.9181050312155711,0.9182298467265053,0.0008509159088134766,1.9218592643737793
RF,CLC,0.75,0.7497244673034533,0.44662816466839683,0.9232464193903782,0.9231500869421103,2.3969709873199463,1.9218592643737793
XGB,CLC,0.75,0.7497244673034533,0.44662816466839683,0.9265515975027543,0.9265875331454689,0.48534131050109863,1.9218592643737793
KNN,CLC,0.9,0.8997060984570169,0.2981897953919932,0.9184722732280572,0.9186322257025352,0.0009243488311767578,2.237224817276001
RF,CLC,0.9,0.8997060984570169,0.2981897953919932,0.9221446933529196,0.9221335654906285,2.947343587875366,2.237224817276001
XGB,CLC,0.9,0.8997060984570169,0.2981897953919932,0.9221446933529196,0.922335529861699,0.5034570693969727,2.237224817276001
KNN,PHL_R0_k=3,0.05,0.05005510653930933,14.238719966334147,0.8879911861917004,0.8891964389738426,0.0004775524139404297,1.8803317546844482
RF,PHL_R0_k=3,0.05,0.05005510653930933,14.238719966334147,0.8707308116048476,0.8715943111498977,0.1291332244873047,1.8803317546844482
XGB,PHL_R0_k=3,0.05,0.05005510653930933,14.238719966334147,0.868160117517444,0.8698272136707357,0.09450888633728027,1.8803317546844482
KNN,PHL_V0_k=3,0.05,0.05005510653930933,14.041504499912703,0.8508997429305912,0.8515450082109446,0.00048470497131347656,1.8803706169128418
RF,PHL_V0_k=3,0.05,0.05005510653930933,14.041504499912703,0.872934263679765,0.8733501139472943,0.137451171875,1.8803706169128418
XGB,PHL_V0_k=3,0.05,0.05005510653930933,14.041504499912703,0.8696290855673889,0.8702587389308191,0.11974763870239258,1.8803706169128418
KNN,PHL_R0_k=3,0.1,0.10001836884643645,14.238719966334147,0.8931325743665075,0.8942928108988816,0.0004942417144775391,1.8803887367248535
RF,PHL_R0_k=3,0.1,0.10001836884643645,14.238719966334147,0.8839515240543518,0.8854552902315539,0.20549845695495605,1.8803887367248535
XGB,PHL_R0_k=3,0.1,0.10001836884643645,14.238719966334147,0.884318766066838,0.8845184729967803,0.12329530715942383,1.8803887367248535
KNN,PHL_V0_k=3,0.1,0.10001836884643645,14.041504499912703,0.866691149467499,0.8671958842528384,0.0004942417144775391,1.880403757095337
RF,PHL_V0_k=3,0.1,0.10001836884643645,14.041504499912703,0.8876239441792141,0.8879353284333451,0.22203516960144043,1.880403757095337
XGB,PHL_V0_k=3,0.1,0.10001836884643645,14.041504499912703,0.892398090341535,0.8926267650306821,0.14951610565185547,1.880403757095337
KNN,PHL_R0_k=3,0.2,0.2000367376928729,14.219696804209976,0.8934998163789938,0.8944075570169461,0.0005342960357666016,1.8805620670318604
RF,PHL_R0_k=3,0.2,0.2000367376928729,14.219696804209976,0.89386705839148,0.894653047049866,0.40450453758239746,1.8805620670318604
XGB,PHL_R0_k=3,0.2,0.2000367376928729,14.219696804209976,0.897172236503856,0.8983251527303634,0.17568445205688477,1.8805620670318604
KNN,PHL_V0_k=3,0.2,0.2000367376928729,14.041504499912703,0.8846860080793243,0.8849704125716459,0.0005538463592529297,1.8805394172668457
RF,PHL_V0_k=3,0.2,0.2000367376928729,14.041504499912703,0.8957032684539111,0.8955769766240474,0.43630385398864746,1.8805394172668457
XGB,PHL_V0_k=3,0.2,0.2000367376928729,14.041504499912703,0.9056188027910393,0.9058141691266012,0.2003631591796875,1.8805394172668457
KNN,PHL_R0_k=3,0.3,0.2998714180749449,14.219696804209976,0.8942343004039662,0.8948557783229704,0.0005702972412109375,1.8807446956634521
RF,PHL_R0_k=3,0.3,0.2998714180749449,14.219696804209976,0.8979067205288285,0.8989830509179487,0.6296820640563965,1.8807446956634521
XGB,PHL_R0_k=3,0.3,0.2998714180749449,14.219696804209976,0.9041498347410943,0.9051977674355423,0.21736383438110352,1.8807446956634521
KNN,PHL_V0_k=3,0.3,0.2998714180749449,14.041504499912703,0.8898273962541314,0.8902666725905303,0.0005898475646972656,1.880742073059082
RF,PHL_V0_k=3,0.3,0.2998714180749449,14.041504499912703,0.8953360264414248,0.8955357707492956,0.6633956432342529,1.880742073059082
XGB,PHL_V0_k=3,0.3,0.2998714180749449,14.041504499912703,0.9015791406536908,0.9018958940432581,0.23230361938476562,1.880742073059082
KNN,PHL_R0_k=3,0.5,0.5,14.219696804209976,0.9089239809034153,0.9091380689737015,0.0006711483001708984,1.8811607360839844
RF,PHL_R0_k=3,0.5,0.5,14.219696804209976,0.9074550128534704,0.9072343086007237,1.246574878692627,1.8811607360839844
XGB,PHL_R0_k=3,0.5,0.5,14.219696804209976,0.910025706940874,0.910088767058846,0.3079397678375244,1.8811607360839844
KNN,PHL_V0_k=3,0.5,0.5,14.041504499912703,0.9089239809034153,0.9088604469024192,0.0006623268127441406,1.8811047077178955
RF,PHL_V0_k=3,0.5,0.5,14.041504499912703,0.9136981270657363,0.9135268544244537,1.3022630214691162,1.8811047077178955
XGB,PHL_V0_k=3,0.5,0.5,14.041504499912703,0.9144326110907087,0.9142899475951732,0.33394646644592285,1.8811047077178955
KNN,PHL_R0_k=3,0.75,0.75,14.113950755117198,0.9129636430407638,0.9130953295093631,0.0007846355438232422,1.8815488815307617
RF,PHL_R0_k=3,0.75,0.75,14.113950755117198,0.9107601909658465,0.9108137075893465,2.1603658199310303,1.8815488815307617
XGB,PHL_R0_k=3,0.75,0.75,14.113950755117198,0.9162688211531399,0.9165305045748632,0.4348320960998535,1.8815488815307617
KNN,PHL_V0_k=3,0.75,0.75,14.041504499912703,0.9118619170033052,0.9118625950355095,0.0007863044738769531,1.881592035293579
RF,PHL_V0_k=3,0.75,0.75,14.041504499912703,0.9107601909658465,0.9107955673782894,2.175837755203247,1.881592035293579
XGB,PHL_V0_k=3,0.75,0.75,14.041504499912703,0.9144326110907087,0.9145298010382941,0.42568135261535645,1.881592035293579
KNN,PHL_R0_k=3,0.9,0.9000734753857458,13.013646529795821,0.9151670951156813,0.9153241108814107,0.0008566379547119141,1.8818693161010742
RF,PHL_R0_k=3,0.9,0.9000734753857458,13.013646529795821,0.9203084832904884,0.9203713800584244,2.8401432037353516,1.8818693161010742
XGB,PHL_R0_k=3,0.9,0.9000734753857458,13.013646529795821,0.9210429673154609,0.9213136167458283,0.4915287494659424,1.8818693161010742
KNN,PHL_V0_k=3,0.9,0.9000734753857458,11.690157693168988,0.9155343371281675,0.9157170579098374,0.0008585453033447266,1.8818912506103516
RF,PHL_V0_k=3,0.9,0.9000734753857458,11.690157693168988,0.9225119353654058,0.9224719635902286,2.843942165374756,1.8818912506103516
XGB,PHL_V0_k=3,0.9,0.9000734753857458,11.690157693168988,0.9221446933529196,0.9223206772794478,0.49373435974121094,1.8818912506103516
KNN,PHL_R1_k=3,0.05,0.05005510653930933,14.234719375171395,0.8835842820418656,0.8843862001205448,0.0004818439483642578,2.4482600688934326
RF,PHL_R1_k=3,0.05,0.05005510653930933,14.234719375171395,0.8733015056922512,0.8745722106192315,0.13463473320007324,2.4482600688934326
XGB,PHL_R1_k=3,0.05,0.05005510653930933,14.234719375171395,0.8721997796547926,0.8736894006449901,0.11812448501586914,2.4482600688934326
KNN,PHL_R1_k=3,0.1,0.10001836884643645,14.234719375171395,0.8986412045538009,0.8989800012542942,0.0005016326904296875,2.4483532905578613
RF,PHL_R1_k=3,0.1,0.10001836884643645,14.234719375171395,0.9026808666911494,0.9026943613125042,0.22730588912963867,2.4483532905578613
