model,reduction_method,mode,dimensions,max_dimension,percentage,k,reduction_ratio,representativeness,accuracy,f1,training_time,reduction_time
KNN,PHL,representative,restrictedDim,0,0.05,1,0.04994259471871412,14.135125136768373,0.8852157943067034,0.8863293390463867,0.0004925727844238281,0.9373459815979004
RF,PHL,representative,restrictedDim,0,0.05,1,0.04994259471871412,14.135125136768373,0.8764921946740128,0.8773803047009224,0.11688637733459473,0.9373459815979004
XGB,PHL,representative,restrictedDim,0,0.05,1,0.04994259471871412,14.135125136768373,0.8783287419651056,0.879177381688402,0.11007952690124512,0.9373459815979004
KNN,PHL,representative,restrictedDim,0,0.1,1,0.1,14.135125136768373,0.8925619834710744,0.8930520258441786,0.00048661231994628906,0.9373879432678223
RF,PHL,representative,restrictedDim,0,0.1,1,0.1,14.135125136768373,0.9058769513314968,0.9059954503839851,0.1830604076385498,0.9373879432678223
XGB,PHL,representative,restrictedDim,0,0.1,1,0.1,14.135125136768373,0.9044995408631772,0.9045822424814534,0.13641881942749023,0.9373879432678223
KNN,PHL,representative,restrictedDim,0,0.2,1,0.20011481056257174,14.135125136768373,0.8999081726354453,0.8996683864878912,0.0005173683166503906,0.9375512599945068
RF,PHL,representative,restrictedDim,0,0.2,1,0.20011481056257174,14.135125136768373,0.9017447199265382,0.9009972076747731,0.3481111526489258,0.9375512599945068
XGB,PHL,representative,restrictedDim,0,0.2,1,0.20011481056257174,14.135125136768373,0.9054178145087236,0.9053592727984613,0.19703221321105957,0.9375512599945068
KNN,PHL,representative,restrictedDim,0,0.3,1,0.29988518943742826,14.135125136768373,0.9040404040404041,0.9038067849279137,0.0005526542663574219,0.9376416206359863
RF,PHL,representative,restrictedDim,0,0.3,1,0.29988518943742826,14.135125136768373,0.9040404040404041,0.9036501226683212,0.5321345329284668,0.9376416206359863
XGB,PHL,representative,restrictedDim,0,0.3,1,0.29988518943742826,14.135125136768373,0.9123048668503214,0.9120229240469095,0.2498311996459961,0.9376416206359863
KNN,PHL,representative,restrictedDim,0,0.5,1,0.5,14.135125136768373,0.9072543617998163,0.9072569699677273,0.0006191730499267578,0.937917947769165
RF,PHL,representative,restrictedDim,0,0.5,1,0.5,14.135125136768373,0.9104683195592287,0.9102910153672542,0.9949386119842529,0.937917947769165
XGB,PHL,representative,restrictedDim,0,0.5,1,0.5,14.135125136768373,0.9159779614325069,0.9159589930084521,0.3060910701751709,0.937917947769165
KNN,PHL,representative,restrictedDim,0,0.75,1,0.7499425947187142,13.560369784453576,0.9141414141414141,0.9142297463569585,0.0007166862487792969,0.9382164478302002
RF,PHL,representative,restrictedDim,0,0.75,1,0.7499425947187142,13.560369784453576,0.9159779614325069,0.9158348769520928,1.7201626300811768,0.9382164478302002
XGB,PHL,representative,restrictedDim,0,0.75,1,0.7499425947187142,13.560369784453576,0.9191919191919192,0.9192461912389056,0.4047541618347168,0.9382164478302002
KNN,PHL,representative,restrictedDim,0,0.9,1,0.9001148105625718,1.8208421857273454,0.9196510560146923,0.9197769553181515,0.0007655620574951172,0.9383020401000977
RF,PHL,representative,restrictedDim,0,0.9,1,0.9001148105625718,1.8208421857273454,0.9233241505968779,0.9231490707411114,2.2015633583068848,0.9383020401000977
XGB,PHL,representative,restrictedDim,0,0.9,1,0.9001148105625718,1.8208421857273454,0.9247015610651974,0.924807663192085,0.4461400508880615,0.9383020401000977
KNN,PHL,vital,restrictedDim,0,0.05,1,0.04994259471871412,14.190097931726552,0.889348025711662,0.889834237338517,0.0004572868347167969,0.9373879432678223
RF,PHL,vital,restrictedDim,0,0.05,1,0.04994259471871412,14.190097931726552,0.8966942148760331,0.8967247814103064,0.11850714683532715,0.9373879432678223
XGB,PHL,vital,restrictedDim,0,0.05,1,0.04994259471871412,14.190097931726552,0.8907254361799817,0.8904524797042079,0.11080121994018555,0.9373879432678223
KNN,PHL,vital,restrictedDim,0,0.1,1,0.1,14.190097931726552,0.8939393939393939,0.8943047035802929,0.0004956722259521484,0.9374034404754639
RF,PHL,vital,restrictedDim,0,0.1,1,0.1,14.190097931726552,0.9003673094582185,0.9003262472203691,0.18364214897155762,0.9374034404754639
XGB,PHL,vital,restrictedDim,0,0.1,1,0.1,14.190097931726552,0.9017447199265382,0.9016783698472103,0.13558506965637207,0.9374034404754639
KNN,PHL,vital,restrictedDim,0,0.2,1,0.20011481056257174,14.190097931726552,0.9118457300275482,0.911538886795821,0.0005016326904296875,0.937563419342041
RF,PHL,vital,restrictedDim,0,0.2,1,0.20011481056257174,14.190097931726552,0.911386593204775,0.910676818192691,0.34949350357055664,0.937563419342041
XGB,PHL,vital,restrictedDim,0,0.2,1,0.20011481056257174,14.190097931726552,0.9058769513314968,0.9052138606888882,0.1913437843322754,0.937563419342041
KNN,PHL,vital,restrictedDim,0,0.3,1,0.29988518943742826,14.190097931726552,0.9086317722681359,0.90823207875203,0.0005509853363037109,0.9376659393310547
RF,PHL,vital,restrictedDim,0,0.3,1,0.29988518943742826,14.190097931726552,0.9054178145087236,0.9045978241643725,0.5408186912536621,0.9376659393310547
XGB,PHL,vital,restrictedDim,0,0.3,1,0.29988518943742826,14.190097931726552,0.9072543617998163,0.90660267837999,0.2405683994293213,0.9376659393310547
KNN,PHL,vital,restrictedDim,0,0.5,1,0.5,14.190097931726552,0.9040404040404041,0.9038987224957558,0.0006225109100341797,0.9379348754882812
RF,PHL,vital,restrictedDim,0,0.5,1,0.5,14.190097931726552,0.9132231404958677,0.9129361556762727,0.9894027709960938,0.9379348754882812
XGB,PHL,vital,restrictedDim,0,0.5,1,0.5,14.190097931726552,0.9173553719008265,0.9171704719161593,0.3074491024017334,0.9379348754882812
KNN,PHL,vital,restrictedDim,0,0.75,1,0.7499425947187142,2.9260924228657927,0.9141414141414141,0.914301670353921,0.0007402896881103516,0.9382472038269043
RF,PHL,vital,restrictedDim,0,0.75,1,0.7499425947187142,2.9260924228657927,0.9196510560146923,0.9195226310285134,1.7239887714385986,0.9382472038269043
XGB,PHL,vital,restrictedDim,0,0.75,1,0.7499425947187142,2.9260924228657927,0.9247015610651974,0.924788154424327,0.40752243995666504,0.9382472038269043
KNN,PHL,vital,restrictedDim,0,0.9,1,0.9001148105625718,1.9514928127740054,0.9168962350780533,0.9170150572547927,0.0007567405700683594,0.9382867813110352
RF,PHL,vital,restrictedDim,0,0.9,1,0.9001148105625718,1.9514928127740054,0.9219467401285583,0.9218738626464904,2.219069480895996,0.9382867813110352
XGB,PHL,vital,restrictedDim,0,0.9,1,0.9001148105625718,1.9514928127740054,0.9269972451790633,0.9270519387527454,0.45092105865478516,0.9382867813110352
KNN,PHL,representative,restrictedDim,0,0.05,2,0.04994259471871412,14.047014655222753,0.8898071625344353,0.8905005998527145,0.0004661083221435547,1.1221024990081787
RF,PHL,representative,restrictedDim,0,0.05,2,0.04994259471871412,14.047014655222753,0.8682277318640955,0.8684391852801938,0.11766171455383301,1.1221024990081787
XGB,PHL,representative,restrictedDim,0,0.05,2,0.04994259471871412,14.047014655222753,0.8553719008264463,0.8541914640689015,0.10553741455078125,1.1221024990081787
KNN,PHL,representative,restrictedDim,0,0.1,2,0.1,14.047014655222753,0.8884297520661157,0.8889339626217351,0.0005145072937011719,1.1221535205841064
RF,PHL,representative,restrictedDim,0,0.1,2,0.1,14.047014655222753,0.8842975206611571,0.8847918229122991,0.17952823638916016,1.1221535205841064
XGB,PHL,representative,restrictedDim,0,0.1,2,0.1,14.047014655222753,0.8783287419651056,0.8791845667175301,0.1401214599609375,1.1221535205841064
KNN,PHL,representative,restrictedDim,0,0.2,2,0.20011481056257174,14.047014655222753,0.8976124885215794,0.8979511308648715,0.0005121231079101562,1.1223065853118896
RF,PHL,representative,restrictedDim,0,0.2,2,0.20011481056257174,14.047014655222753,0.889348025711662,0.8903360586705146,0.3284640312194824,1.1223065853118896
XGB,PHL,representative,restrictedDim,0,0.2,2,0.20011481056257174,14.047014655222753,0.8934802571166207,0.8941808250195538,0.16791486740112305,1.1223065853118896
KNN,PHL,representative,restrictedDim,0,0.3,2,0.29988518943742826,14.047014655222753,0.9100091827364555,0.9100781198918063,0.0005502700805664062,1.1224110126495361
RF,PHL,representative,restrictedDim,0,0.3,2,0.29988518943742826,14.047014655222753,0.9118457300275482,0.911994209979671,0.5323002338409424,1.1224110126495361
XGB,PHL,representative,restrictedDim,0,0.3,2,0.29988518943742826,14.047014655222753,0.9132231404958677,0.9131435688369671,0.22673916816711426,1.1224110126495361
KNN,PHL,representative,restrictedDim,0,0.5,2,0.5,14.047014655222753,0.9086317722681359,0.9083470986827246,0.0006182193756103516,1.1226937770843506
RF,PHL,representative,restrictedDim,0,0.5,2,0.5,14.047014655222753,0.9086317722681359,0.9079735120131199,1.0149152278900146,1.1226937770843506
XGB,PHL,representative,restrictedDim,0,0.5,2,0.5,14.047014655222753,0.9086317722681359,0.9084131878269901,0.3068418502807617,1.1226937770843506
KNN,PHL,representative,restrictedDim,0,0.75,2,0.7499425947187142,14.047014655222753,0.9132231404958677,0.913304269714773,0.0007030963897705078,1.1229853630065918
RF,PHL,representative,restrictedDim,0,0.75,2,0.7499425947187142,14.047014655222753,0.911386593204775,0.9112937612881258,1.7172343730926514,1.1229853630065918
XGB,PHL,representative,restrictedDim,0,0.75,2,0.7499425947187142,14.047014655222753,0.9182736455463728,0.9182309821956973,0.3865683078765869,1.1229853630065918
KNN,PHL,representative,restrictedDim,0,0.9,2,0.9001148105625718,2.2673885808992185,0.9168962350780533,0.9169642101916793,0.0007770061492919922,1.1230552196502686
RF,PHL,representative,restrictedDim,0,0.9,2,0.9001148105625718,2.2673885808992185,0.9242424242424242,0.9242268500910088,2.185173749923706,1.1230552196502686
XGB,PHL,representative,restrictedDim,0,0.9,2,0.9001148105625718,2.2673885808992185,0.9247015610651974,0.9247685884664695,0.45199108123779297,1.1230552196502686
KNN,PHL,vital,restrictedDim,0,0.05,2,0.04994259471871412,14.22055794520672,0.8709825528007347,0.8713877009358449,0.0004665851593017578,1.122145175933838
RF,PHL,vital,restrictedDim,0,0.05,2,0.04994259471871412,14.22055794520672,0.8746556473829201,0.8741202126504335,0.11800837516784668,1.122145175933838
XGB,PHL,vital,restrictedDim,0,0.05,2,0.04994259471871412,14.22055794520672,0.8503213957759412,0.8472456624652904,0.10741877555847168,1.122145175933838
KNN,PHL,vital,restrictedDim,0,0.1,2,0.1,14.190097931726552,0.8741965105601469,0.8751064197086688,0.0004737377166748047,1.1221680641174316
RF,PHL,vital,restrictedDim,0,0.1,2,0.1,14.190097931726552,0.8838383838383839,0.8842048733103595,0.18430209159851074,1.1221680641174316
XGB,PHL,vital,restrictedDim,0,0.1,2,0.1,14.190097931726552,0.8934802571166207,0.8939759852451163,0.14046597480773926,1.1221680641174316
KNN,PHL,vital,restrictedDim,0,0.2,2,0.20011481056257174,14.099909471978728,0.8911845730027548,0.8915860441032089,0.0005166530609130859,1.1222918033599854
RF,PHL,vital,restrictedDim,0,0.2,2,0.20011481056257174,14.099909471978728,0.8930211202938476,0.8927315411814797,0.3421287536621094,1.1222918033599854
XGB,PHL,vital,restrictedDim,0,0.2,2,0.20011481056257174,14.099909471978728,0.8925619834710744,0.8927158662432616,0.183610200881958,1.1222918033599854
KNN,PHL,vital,restrictedDim,0,0.3,2,0.29988518943742826,14.099909471978728,0.9095500459136823,0.9095962342248348,0.0005521774291992188,1.1224379539489746
RF,PHL,vital,restrictedDim,0,0.3,2,0.29988518943742826,14.099909471978728,0.9104683195592287,0.909982357138033,0.5361354351043701,1.1224379539489746
XGB,PHL,vital,restrictedDim,0,0.3,2,0.29988518943742826,14.099909471978728,0.9081726354453628,0.9078767555219384,0.23914384841918945,1.1224379539489746
KNN,PHL,vital,restrictedDim,0,0.5,2,0.5,14.099909471978728,0.9141414141414141,0.9139490752194404,0.00066375732421875,1.1227235794067383
RF,PHL,vital,restrictedDim,0,0.5,2,0.5,14.099909471978728,0.9118457300275482,0.9111778931056794,0.9938449859619141,1.1227235794067383
XGB,PHL,vital,restrictedDim,0,0.5,2,0.5,14.099909471978728,0.9155188246097337,0.9150852494631034,0.3123507499694824,1.1227235794067383
KNN,PHL,vital,restrictedDim,0,0.75,2,0.7499425947187142,14.099909471978728,0.9132231404958677,0.9131953689072142,0.0007040500640869141,1.1230201721191406
RF,PHL,vital,restrictedDim,0,0.75,2,0.7499425947187142,14.099909471978728,0.9201101928374655,0.9199075799912829,1.6989960670471191,1.1230201721191406
XGB,PHL,vital,restrictedDim,0,0.75,2,0.7499425947187142,14.099909471978728,0.9205693296602387,0.9204663020844815,0.3883662223815918,1.1230201721191406
KNN,PHL,vital,restrictedDim,0,0.9,2,0.9001148105625718,1.906152475260241,0.9173553719008265,0.9173729849456276,0.0007715225219726562,1.1231353282928467
RF,PHL,vital,restrictedDim,0,0.9,2,0.9001148105625718,1.906152475260241,0.9164370982552801,0.9161195578433292,2.18985915184021,1.1231353282928467
XGB,PHL,vital,restrictedDim,0,0.9,2,0.9001148105625718,1.906152475260241,0.9265381083562901,0.9265384733152467,0.4522726535797119,1.1231353282928467
KNN,PHL,representative,restrictedDim,0,0.05,3,0.04994259471871412,14.706435754082626,0.8861340679522498,0.8867363948776691,0.0004673004150390625,1.3197836875915527
RF,PHL,representative,restrictedDim,0,0.05,3,0.04994259471871412,14.706435754082626,0.8654729109274564,0.863915922521616,0.1169438362121582,1.3197836875915527
XGB,PHL,representative,restrictedDim,0,0.05,3,0.04994259471871412,14.706435754082626,0.8590449954086318,0.856569659794292,0.10714221000671387,1.3197836875915527
KNN,PHL,representative,restrictedDim,0,0.1,3,0.1,14.706435754082626,0.8911845730027548,0.8917791717254768,0.00048089027404785156,1.3198366165161133
RF,PHL,representative,restrictedDim,0,0.1,3,0.1,14.706435754082626,0.8797061524334252,0.8796431114256602,0.17354416847229004,1.3198366165161133
XGB,PHL,representative,restrictedDim,0,0.1,3,0.1,14.706435754082626,0.8870523415977961,0.8869770104283548,0.1271367073059082,1.3198366165161133
KNN,PHL,representative,restrictedDim,0,0.2,3,0.20011481056257174,14.706435754082626,0.8966942148760331,0.8970838725110264,0.0005192756652832031,1.3199620246887207
RF,PHL,representative,restrictedDim,0,0.2,3,0.20011481056257174,14.706435754082626,0.898989898989899,0.8991050036577053,0.3223240375518799,1.3199620246887207
XGB,PHL,representative,restrictedDim,0,0.2,3,0.20011481056257174,14.706435754082626,0.9022038567493113,0.9024082188255101,0.16937851905822754,1.3199620246887207
KNN,PHL,representative,restrictedDim,0,0.3,3,0.29988518943742826,14.697362411281446,0.8994490358126722,0.8997374709101622,0.0005481243133544922,1.320103406906128
RF,PHL,representative,restrictedDim,0,0.3,3,0.29988518943742826,14.697362411281446,0.9003673094582185,0.9005708915044957,0.5088121891021729,1.320103406906128
XGB,PHL,representative,restrictedDim,0,0.3,3,0.29988518943742826,14.697362411281446,0.9054178145087236,0.9054135387025317,0.20814180374145508,1.320103406906128
KNN,PHL,representative,restrictedDim,0,0.5,3,0.5,14.205550319470492,0.9100091827364555,0.9099250937263839,0.0006089210510253906,1.3203582763671875
RF,PHL,representative,restrictedDim,0,0.5,3,0.5,14.205550319470492,0.9104683195592287,0.9102365698430797,0.9777555465698242,1.3203582763671875
XGB,PHL,representative,restrictedDim,0,0.5,3,0.5,14.205550319470492,0.9141414141414141,0.9139812890494767,0.2925426959991455,1.3203582763671875
KNN,PHL,representative,restrictedDim,0,0.75,3,0.7499425947187142,14.094918564934177,0.9132231404958677,0.9130425461458929,0.0007121562957763672,1.3206937313079834
RF,PHL,representative,restrictedDim,0,0.75,3,0.7499425947187142,14.094918564934177,0.9095500459136823,0.9091273904559094,1.652601718902588,1.3206937313079834
XGB,PHL,representative,restrictedDim,0,0.75,3,0.7499425947187142,14.094918564934177,0.9155188246097337,0.9152109539524352,0.37883806228637695,1.3206937313079834
KNN,PHL,representative,restrictedDim,0,0.9,3,0.9001148105625718,11.914274686906099,0.9191919191919192,0.9192327101016354,0.0007669925689697266,1.3209593296051025
RF,PHL,representative,restrictedDim,0,0.9,3,0.9001148105625718,11.914274686906099,0.9191919191919192,0.9189740071157726,2.179077625274658,1.3209593296051025
XGB,PHL,representative,restrictedDim,0,0.9,3,0.9001148105625718,11.914274686906099,0.9219467401285583,0.9220339009833026,0.4471912384033203,1.3209593296051025
KNN,PHL,vital,restrictedDim,0,0.05,3,0.04994259471871412,14.154294457218457,0.8728191000918274,0.8736033089071473,0.0004763603210449219,1.319833755493164
RF,PHL,vital,restrictedDim,0,0.05,3,0.04994259471871412,14.154294457218457,0.8824609733700642,0.8828950534289602,0.1196436882019043,1.319833755493164
XGB,PHL,vital,restrictedDim,0,0.05,3,0.04994259471871412,14.154294457218457,0.8934802571166207,0.8938088478022118,0.11115789413452148,1.319833755493164
KNN,PHL,vital,restrictedDim,0,0.1,3,0.1,14.02753529002993,0.869605142332415,0.8702127926190111,0.0004947185516357422,1.319868803024292
RF,PHL,vital,restrictedDim,0,0.1,3,0.1,14.02753529002993,0.8797061524334252,0.879331368361869,0.18268847465515137,1.319868803024292
XGB,PHL,vital,restrictedDim,0,0.1,3,0.1,14.02753529002993,0.8939393939393939,0.8932928970128391,0.14764118194580078,1.319868803024292
KNN,PHL,vital,restrictedDim,0,0.2,3,0.20011481056257174,14.02753529002993,0.8842975206611571,0.8847192504393361,0.0005273818969726562,1.3199691772460938
RF,PHL,vital,restrictedDim,0,0.2,3,0.20011481056257174,14.02753529002993,0.8976124885215794,0.897657888688521,0.3526020050048828,1.3199691772460938
XGB,PHL,vital,restrictedDim,0,0.2,3,0.20011481056257174,14.02753529002993,0.9049586776859504,0.9051135414590691,0.19951653480529785,1.3199691772460938
KNN,PHL,vital,restrictedDim,0,0.3,3,0.29988518943742826,14.02753529002993,0.8898071625344353,0.8903052392549822,0.0005419254302978516,1.3201277256011963
RF,PHL,vital,restrictedDim,0,0.3,3,0.29988518943742826,14.02753529002993,0.8971533516988063,0.8975290102288999,0.5330460071563721,1.3201277256011963
XGB,PHL,vital,restrictedDim,0,0.3,3,0.29988518943742826,14.02753529002993,0.9072543617998163,0.9072581013441992,0.23636603355407715,1.3201277256011963
KNN,PHL,vital,restrictedDim,0,0.5,3,0.5,14.02753529002993,0.9072543617998163,0.907143398113611,0.0006201267242431641,1.3204073905944824
RF,PHL,vital,restrictedDim,0,0.5,3,0.5,14.02753529002993,0.9058769513314968,0.9053882660969093,1.0245060920715332,1.3204073905944824
XGB,PHL,vital,restrictedDim,0,0.5,3,0.5,14.02753529002993,0.9155188246097337,0.9152238969041011,0.3181576728820801,1.3204073905944824
KNN,PHL,vital,restrictedDim,0,0.75,3,0.7499425947187142,14.02753529002993,0.9150596877869606,0.9148252156538186,0.0007164478302001953,1.3206722736358643
RF,PHL,vital,restrictedDim,0,0.75,3,0.7499425947187142,14.02753529002993,0.9150596877869606,0.9146670464681458,1.6515464782714844,1.3206722736358643
XGB,PHL,vital,restrictedDim,0,0.75,3,0.7499425947187142,14.02753529002993,0.9196510560146923,0.9192875813254842,0.3799421787261963,1.3206722736358643
KNN,PHL,vital,restrictedDim,0,0.9,3,0.9001148105625718,2.1546271763191855,0.9191919191919192,0.9192111902717294,0.0007755756378173828,1.3208062648773193
RF,PHL,vital,restrictedDim,0,0.9,3,0.9001148105625718,2.1546271763191855,0.9182736455463728,0.9180839501445529,2.176185131072998,1.3208062648773193
XGB,PHL,vital,restrictedDim,0,0.9,3,0.9001148105625718,2.1546271763191855,0.9242424242424242,0.9241606143706559,0.4458887577056885,1.3208062648773193
KNN,PHL,representative,restrictedDim,0,0.05,5,0.04994259471871412,15.111850259479615,0.8815426997245179,0.8819423960266101,0.0004696846008300781,1.6747004985809326
RF,PHL,representative,restrictedDim,0,0.05,5,0.04994259471871412,15.111850259479615,0.8631772268135904,0.8631325343920044,0.11449384689331055,1.6747004985809326
XGB,PHL,representative,restrictedDim,0,0.05,5,0.04994259471871412,15.111850259479615,0.8599632690541782,0.8592292097855306,0.09853053092956543,1.6747004985809326
KNN,PHL,representative,restrictedDim,0,0.1,5,0.1,14.29219679406262,0.8856749311294766,0.8860429863840775,0.0004830360412597656,1.6747450828552246
RF,PHL,representative,restrictedDim,0,0.1,5,0.1,14.29219679406262,0.8829201101928374,0.8830295218523327,0.1808481216430664,1.6747450828552246
XGB,PHL,representative,restrictedDim,0,0.1,5,0.1,14.29219679406262,0.8902662993572085,0.8906372840757012,0.12893414497375488,1.6747450828552246
KNN,PHL,representative,restrictedDim,0,0.2,5,0.20011481056257174,14.29219679406262,0.8907254361799817,0.8909170489678956,0.0005056858062744141,1.674865484237671
RF,PHL,representative,restrictedDim,0,0.2,5,0.20011481056257174,14.29219679406262,0.8994490358126722,0.8992080394841899,0.32433581352233887,1.674865484237671
XGB,PHL,representative,restrictedDim,0,0.2,5,0.20011481056257174,14.29219679406262,0.8985307621671258,0.8982440426418457,0.15931034088134766,1.674865484237671
KNN,PHL,representative,restrictedDim,0,0.3,5,0.29988518943742826,14.29219679406262,0.8966942148760331,0.8968746812860225,0.0005941390991210938,1.674989938735962
RF,PHL,representative,restrictedDim,0,0.3,5,0.29988518943742826,14.29219679406262,0.9086317722681359,0.9087290533049542,0.5083668231964111,1.674989938735962
XGB,PHL,representative,restrictedDim,0,0.3,5,0.29988518943742826,14.29219679406262,0.9017447199265382,0.901910389031651,0.2001190185546875,1.674989938735962
KNN,PHL,representative,restrictedDim,0,0.5,5,0.5,14.29219679406262,0.9095500459136823,0.9095506480362399,0.0006308555603027344,1.6752965450286865
RF,PHL,representative,restrictedDim,0,0.5,5,0.5,14.29219679406262,0.9067952249770431,0.9068008814921936,0.9556138515472412,1.6752965450286865
XGB,PHL,representative,restrictedDim,0,0.5,5,0.5,14.29219679406262,0.9118457300275482,0.9118979315027077,0.2774960994720459,1.6752965450286865
KNN,PHL,representative,restrictedDim,0,0.75,5,0.7499425947187142,14.094918564934177,0.9081726354453628,0.9080901010423231,0.0007274150848388672,1.6756222248077393
RF,PHL,representative,restrictedDim,0,0.75,5,0.7499425947187142,14.094918564934177,0.9123048668503214,0.9119386039069061,1.6421945095062256,1.6756222248077393
XGB,PHL,representative,restrictedDim,0,0.75,5,0.7499425947187142,14.094918564934177,0.9155188246097337,0.9151499403601341,0.37105655670166016,1.6756222248077393
KNN,PHL,representative,restrictedDim,0,0.9,5,0.9001148105625718,12.627460146117182,0.9224058769513315,0.9224074376322698,0.0008263587951660156,1.6757798194885254
RF,PHL,representative,restrictedDim,0,0.9,5,0.9001148105625718,12.627460146117182,0.918732782369146,0.9184834539907923,2.169100046157837,1.6757798194885254
XGB,PHL,representative,restrictedDim,0,0.9,5,0.9001148105625718,12.627460146117182,0.9242424242424242,0.9242838427949637,0.43898510932922363,1.6757798194885254
KNN,PHL,vital,restrictedDim,0,0.05,5,0.04994259471871412,13.727648022127932,0.8567493112947658,0.8569328242557934,0.00047397613525390625,1.674720287322998
RF,PHL,vital,restrictedDim,0,0.05,5,0.04994259471871412,13.727648022127932,0.8943985307621671,0.8941353255450368,0.12258076667785645,1.674720287322998
XGB,PHL,vital,restrictedDim,0,0.05,5,0.04994259471871412,13.727648022127932,0.8865932047750229,0.8858199855777706,0.1220862865447998,1.674720287322998
KNN,PHL,vital,restrictedDim,0,0.1,5,0.1,13.727648022127932,0.857208448117539,0.8572798913426808,0.00047850608825683594,1.6747586727142334
RF,PHL,vital,restrictedDim,0,0.1,5,0.1,13.727648022127932,0.8852157943067034,0.8854299298708516,0.18950843811035156,1.6747586727142334
XGB,PHL,vital,restrictedDim,0,0.1,5,0.1,13.727648022127932,0.8911845730027548,0.8910363729387791,0.1485917568206787,1.6747586727142334
KNN,PHL,vital,restrictedDim,0,0.2,5,0.20011481056257174,13.727648022127932,0.8677685950413223,0.8683749238745189,0.0005297660827636719,1.6748805046081543
RF,PHL,vital,restrictedDim,0,0.2,5,0.20011481056257174,13.727648022127932,0.8902662993572085,0.8906850132488093,0.34769749641418457,1.6748805046081543
XGB,PHL,vital,restrictedDim,0,0.2,5,0.20011481056257174,13.727648022127932,0.8976124885215794,0.8980298001808312,0.196014404296875,1.6748805046081543
