model,reduction_method,percentage,reduction_ratio,representativeness,accuracy,f1,training_time,reduction_time
KNN,None,1.0,1.0,0,0.7142857142857143,0.70941091954023,0.001054525375366211,0
RF,None,1.0,1.0,0,0.7207792207792207,0.7140252078305176,0.11352062225341797,0
XGB,None,1.0,1.0,0,0.7532467532467533,0.751854878771854,0.06499147415161133,0
KNN,SRS,0.05,0.048859934853420196,4.85417472307927,0.6818181818181819,0.6575710873057985,0.0004409313201904297,0.0006479263305664062
KNN,SRS,0.1,0.09771986970684039,4.804303889154068,0.6558441558441558,0.6427495146512198,0.0004467010498046875,0.000633859634399414
KNN,SRS,0.2,0.1986970684039088,3.9699614445324443,0.6792207792207792,0.6669138811738274,0.00048313140869140627,0.0006641864776611329
KNN,SRS,0.3,0.2980456026058632,3.9472102558862145,0.7012987012987013,0.687591219261041,0.0004935741424560546,0.0006502151489257812
KNN,SRS,0.5,0.49837133550488594,3.4950611717142217,0.7116883116883117,0.7061099168592513,0.0005455493927001953,0.0006494522094726562
KNN,SRS,0.75,0.747557003257329,3.2180432619723534,0.6987012987012987,0.6913732380080305,0.0005743503570556641,0.00064544677734375
KNN,SRS,0.9,0.8990228013029317,1.9943357336480954,0.6961038961038961,0.6905906511676358,0.0006614208221435546,0.0006649494171142578
RF,SRS,0.05,0.048859934853420196,4.85417472307927,0.7038961038961039,0.6843560049866662,0.06915493011474609,0.0006479263305664062
RF,SRS,0.1,0.09771986970684039,4.804303889154068,0.7207792207792207,0.7135208055770697,0.07040681838989257,0.000633859634399414
RF,SRS,0.2,0.1986970684039088,3.9699614445324443,0.7376623376623377,0.7266166227655964,0.07625827789306641,0.0006641864776611329
RF,SRS,0.3,0.2980456026058632,3.9472102558862145,0.735064935064935,0.7261653530485097,0.08589167594909668,0.0006502151489257812
RF,SRS,0.5,0.49837133550488594,3.4950611717142217,0.7597402597402597,0.7512389992754979,0.08936934471130371,0.0006494522094726562
RF,SRS,0.75,0.747557003257329,3.2180432619723534,0.7428571428571429,0.7352920420161698,0.09821648597717285,0.00064544677734375
RF,SRS,0.9,0.8990228013029317,1.9943357336480954,0.7467532467532467,0.7398263003518254,0.10549297332763671,0.0006649494171142578
XGB,SRS,0.05,0.048859934853420196,4.85417472307927,0.712987012987013,0.699834951726608,0.014231443405151367,0.0006479263305664062
XGB,SRS,0.1,0.09771986970684039,4.804303889154068,0.6753246753246753,0.6711372274692119,0.01629800796508789,0.000633859634399414
XGB,SRS,0.2,0.1986970684039088,3.9699614445324443,0.7246753246753247,0.7195226923879809,0.1823488712310791,0.0006641864776611329
XGB,SRS,0.3,0.2980456026058632,3.9472102558862145,0.7038961038961038,0.6961385689912498,0.219704532623291,0.0006502151489257812
XGB,SRS,0.5,0.49837133550488594,3.4950611717142217,0.7402597402597403,0.7347987554960553,0.2864799976348877,0.0006494522094726562
XGB,SRS,0.75,0.747557003257329,3.2180432619723534,0.7311688311688311,0.7281039326274275,0.04026398658752441,0.00064544677734375
XGB,SRS,0.9,0.8990228013029317,1.9943357336480954,0.7207792207792207,0.7173999713916691,0.04193892478942871,0.0006649494171142578
KNN,CNN,0.0,0.24104234527687296,5.7617405462642175,0.5909090909090909,0.438961038961039,0.00043010711669921875,2.3063111305236816
RF,CNN,0.0,0.24104234527687296,5.7617405462642175,0.5909090909090909,0.438961038961039,0.06939888000488281,2.3063111305236816
XGB,CNN,0.0,0.24104234527687296,5.7617405462642175,0.5909090909090909,0.438961038961039,0.010835409164428711,2.3063111305236816
KNN,DROP3,0.0,0.1970684039087948,4.559714210359011,0.7077922077922078,0.7065979505003894,0.0005409717559814453,0.9455089569091797
RF,DROP3,0.0,0.1970684039087948,4.559714210359011,0.7922077922077922,0.7886624869383491,0.07374739646911621,0.9455089569091797
XGB,DROP3,0.0,0.1970684039087948,4.559714210359011,0.7402597402597403,0.7395766925921202,0.02024364471435547,0.9455089569091797
KNN,CLC,0.05,0.048859934853420196,3.9997737184255273,0.6818181818181818,0.6497851735661188,0.000698089599609375,0.06744623184204102
RF,CLC,0.05,0.048859934853420196,3.9997737184255273,0.7012987012987013,0.6727887344312082,0.11585164070129395,0.06744623184204102
XGB,CLC,0.05,0.048859934853420196,3.9997737184255273,0.6948051948051948,0.6821330898608065,0.014899969100952148,0.06744623184204102
KNN,CLC,0.1,0.09771986970684039,3.224709962550566,0.6558441558441559,0.6311439756415832,0.0004153251647949219,0.00931096076965332
RF,CLC,0.1,0.09771986970684039,3.224709962550566,0.6818181818181818,0.6249721888488408,0.07089376449584961,0.00931096076965332
XGB,CLC,0.1,0.09771986970684039,3.224709962550566,0.6558441558441559,0.6367252922308569,0.017278671264648438,0.00931096076965332
KNN,CLC,0.2,0.1986970684039088,3.0708449226290675,0.6363636363636364,0.6052744425385935,0.00045371055603027344,0.01528310775756836
RF,CLC,0.2,0.1986970684039088,3.0708449226290675,0.6883116883116883,0.6479338842975206,0.07605814933776855,0.01528310775756836
XGB,CLC,0.2,0.1986970684039088,3.0708449226290675,0.6493506493506493,0.6256818181818182,0.02323603630065918,0.01528310775756836
KNN,CLC,0.3,0.2980456026058632,1.4201835590483003,0.7077922077922078,0.6915592103846898,0.0004885196685791016,0.02114701271057129
RF,CLC,0.3,0.2980456026058632,1.4201835590483003,0.7272727272727273,0.701241887958929,0.08012866973876953,0.02114701271057129
XGB,CLC,0.3,0.2980456026058632,1.4201835590483003,0.7142857142857143,0.6950000000000001,0.026286602020263672,0.02114701271057129
KNN,CLC,0.5,0.498371335504886,1.3274708459693334,0.6623376623376623,0.6366110080395796,0.0005869865417480469,0.03401350975036621
RF,CLC,0.5,0.498371335504886,1.3274708459693334,0.7272727272727273,0.701241887958929,0.09173345565795898,0.03401350975036621
XGB,CLC,0.5,0.498371335504886,1.3274708459693334,0.7207792207792207,0.700739451935624,0.033492326736450195,0.03401350975036621
KNN,CLC,0.75,0.747557003257329,1.032477324642815,0.6948051948051948,0.6778507308462316,0.0006096363067626953,0.04892110824584961
RF,CLC,0.75,0.747557003257329,1.032477324642815,0.7597402597402597,0.748141513658755,0.1006765365600586,0.04892110824584961
XGB,CLC,0.75,0.747557003257329,1.032477324642815,0.7012987012987013,0.6879065265017068,0.0362548828125,0.04892110824584961
KNN,CLC,0.9,0.8990228013029316,0.6350716229007827,0.7012987012987013,0.691643709825528,0.0006864070892333984,0.05834388732910156
RF,CLC,0.9,0.8990228013029316,0.6350716229007827,0.7337662337662337,0.7209135691894313,0.10663223266601562,0.05834388732910156
XGB,CLC,0.9,0.8990228013029316,0.6350716229007827,0.7142857142857143,0.7080846446011937,0.037616729736328125,0.05834388732910156
KNN,PHL_R0_k=3,0.05,0.048859934853420196,5.328205369408282,0.7337662337662337,0.7354198596434621,0.0006310939788818359,0.09057879447937012
RF,PHL_R0_k=3,0.05,0.048859934853420196,5.328205369408282,0.6818181818181818,0.6821804381576677,0.0953836441040039,0.09057879447937012
XGB,PHL_R0_k=3,0.05,0.048859934853420196,5.328205369408282,0.6688311688311688,0.669208211143695,0.012408733367919922,0.09057879447937012
KNN,PHL_V0_k=3,0.05,0.048859934853420196,5.584369089091372,0.525974025974026,0.5240366752561874,0.0005130767822265625,0.09055161476135254
RF,PHL_V0_k=3,0.05,0.048859934853420196,5.584369089091372,0.6883116883116883,0.6782369146005509,0.06889677047729492,0.09055161476135254
XGB,PHL_V0_k=3,0.05,0.048859934853420196,5.584369089091372,0.7012987012987013,0.6879065265017068,0.014229536056518555,0.09055161476135254
KNN,PHL_R0_k=3,0.1,0.0993485342019544,5.328205369408282,0.7272727272727273,0.7291176606245099,0.0005509853363037109,0.0905447006225586
